Macrotrends Data Download

Hang Seng Composite Index - 30 Year Historical Chart

DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED "AS IS" AND SOLELY
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.



ATTRIBUTION: Proper attribution requires clear indication of the data source as "www.macrotrends.net".
A "dofollow" backlink to the originating page is also required if the data is displayed on a web page.


date, value
1986-12-31,2568.3000
1987-01-02,2540.1001
1987-01-05,2552.3999
1987-01-06,2583.8999
1987-01-07,2607.1001
1987-01-08,2603.3000
1987-01-09,2561.7000
1987-01-12,2614.8999
1987-01-13,2590.8000
1987-01-14,2578.2000
1987-01-15,2559.1001
1987-01-16,2542.6001
1987-01-19,2460.5000
1987-01-20,2449.8999
1987-01-21,2533.8999
1987-01-22,2536.8999
1987-01-23,2499.3999
1987-01-26,2484.3999
1987-01-27,2524.0000
1987-01-28,2553.3000
1987-02-02,2585.2000
1987-02-03,2606.3999
1987-02-04,2636.6001
1987-02-05,2672.3999
1987-02-06,2673.6001
1987-02-09,2713.7000
1987-02-10,2694.8999
1987-02-11,2739.5000
1987-02-12,2754.7000
1987-02-13,2740.5000
1987-02-16,2766.1001
1987-02-17,2792.1001
1987-02-18,2801.5000
1987-02-19,2775.8000
1987-02-20,2827.3999
1987-02-23,2879.0000
1987-02-24,2848.2000
1987-02-25,2873.6001
1987-02-26,2843.6001
1987-02-27,2877.8999
1987-03-02,2894.3000
1987-03-03,2939.1001
1987-03-04,2890.8999
1987-03-05,2798.3999
1987-03-06,2798.6001
1987-03-09,2820.3999
1987-03-10,2731.1001
1987-03-11,2760.8999
1987-03-12,2750.1001
1987-03-13,2721.2000
1987-03-16,2669.6001
1987-03-17,2629.3000
1987-03-18,2724.0000
1987-03-19,2721.3000
1987-03-20,2780.6001
1987-03-23,2813.3999
1987-03-24,2828.1001
1987-03-25,2831.5000
1987-03-26,2783.1001
1987-03-27,2798.7000
1987-03-30,2774.8999
1987-03-31,2713.8000
1987-04-01,2695.8999
1987-04-02,2709.3999
1987-04-03,2680.0000
1987-04-07,2664.7000
1987-04-08,2729.6001
1987-04-09,2785.5000
1987-04-10,2766.3999
1987-04-13,2708.8999
1987-04-14,2668.3999
1987-04-15,2693.6001
1987-04-16,2721.1001
1987-04-21,2713.3999
1987-04-22,2716.8999
1987-04-23,2719.8999
1987-04-24,2707.6001
1987-04-27,2636.5000
1987-04-28,2617.1001
1987-04-29,2589.5000
1987-04-30,2659.8999
1987-05-01,2685.3999
1987-05-04,2695.8000
1987-05-05,2713.8000
1987-05-06,2792.8999
1987-05-07,2785.6001
1987-05-08,2805.1001
1987-05-11,2846.8999
1987-05-12,2853.3999
1987-05-13,2833.5000
1987-05-14,2853.8999
1987-05-15,2872.2000
1987-05-18,2875.3999
1987-05-19,2881.5000
1987-05-20,2887.3000
1987-05-21,2871.0000
1987-05-22,2897.6001
1987-05-25,2897.6001
1987-05-26,2935.8999
1987-05-27,2941.6001
1987-05-28,2950.8000
1987-05-29,2950.8000
1987-06-02,2934.1001
1987-06-03,2963.0000
1987-06-04,3023.6001
1987-06-05,3064.3000
1987-06-08,3068.0000
1987-06-09,3108.6001
1987-06-10,3097.3000
1987-06-11,3087.5000
1987-06-12,3129.8999
1987-06-16,3170.8999
1987-06-17,3178.6001
1987-06-18,3133.7000
1987-06-19,3165.6001
1987-06-22,3131.2000
1987-06-23,3110.3999
1987-06-24,3179.0000
1987-06-25,3136.3000
1987-06-26,3138.7000
1987-06-29,3152.0000
1987-06-30,3178.2000
1987-07-01,3164.0000
1987-07-02,3229.2000
1987-07-03,3226.0000
1987-07-06,3220.7000
1987-07-07,3236.3999
1987-07-08,3251.3999
1987-07-09,3226.0000
1987-07-10,3207.2000
1987-07-13,3216.1001
1987-07-14,3253.3999
1987-07-15,3262.3000
1987-07-16,3305.8000
1987-07-17,3342.1001
1987-07-20,3386.1001
1987-07-21,3353.8000
1987-07-22,3380.3999
1987-07-23,3366.8000
1987-07-24,3343.6001
1987-07-27,3346.8999
1987-07-28,3337.5000
1987-07-29,3389.7000
1987-07-30,3419.3000
1987-07-31,3479.2000
1987-08-03,3514.3000
1987-08-04,3531.8999
1987-08-05,3517.1001
1987-08-06,3498.0000
1987-08-07,3536.2000
1987-08-10,3543.8000
1987-08-11,3546.5000
1987-08-12,3557.3999
1987-08-13,3514.3000
1987-08-14,3512.2000
1987-08-17,3510.7000
1987-08-18,3504.8999
1987-08-19,3450.6001
1987-08-20,3408.0000
1987-08-21,3446.6001
1987-08-24,3391.3000
1987-08-25,3447.3000
1987-08-26,3526.3000
1987-08-27,3583.3000
1987-08-28,3611.7000
1987-09-01,3644.3000
1987-09-02,3635.8999
1987-09-03,3654.0000
1987-09-04,3654.5000
1987-09-07,3646.3000
1987-09-08,3601.5000
1987-09-09,3577.6001
1987-09-10,3601.0000
1987-09-11,3660.5000
1987-09-14,3649.8000
1987-09-15,3646.8999
1987-09-16,3646.8999
1987-09-17,3571.3999
1987-09-18,3650.0000
1987-09-21,3668.0000
1987-09-22,3695.5000
1987-09-23,3763.1001
1987-09-24,3768.3999
1987-09-25,3840.1001
1987-09-28,3884.7000
1987-09-29,3859.5000
1987-09-30,3943.6001
1987-10-01,3949.7000
1987-10-02,3902.7000
1987-10-05,3947.0000
1987-10-06,3925.3000
1987-10-07,3936.1001
1987-10-09,3882.3999
1987-10-12,3900.2000
1987-10-13,3841.3000
1987-10-14,3844.5000
1987-10-15,3828.6001
1987-10-16,3783.2000
1987-10-19,3362.3999
1987-10-26,2241.7000
1987-10-27,2395.7000
1987-10-28,2370.2000
1987-10-29,2204.5000
1987-10-30,2204.5000
1987-11-02,2203.2000
1987-11-03,2180.5000
1987-11-04,2077.1001
1987-11-05,1960.9000
1987-11-06,2113.7000
1987-11-09,2139.3000
1987-11-10,2043.2000
1987-11-11,2075.3000
1987-11-12,2150.8999
1987-11-13,2226.7000
1987-11-16,2310.8999
1987-11-17,2290.3999
1987-11-18,2285.2000
1987-11-19,2257.6001
1987-11-20,2214.7000
1987-11-23,2141.7000
1987-11-24,2134.8000
1987-11-25,2184.3999
1987-11-26,2179.6001
1987-11-27,2194.0000
1987-11-30,2138.3999
1987-12-01,2108.6001
1987-12-02,2100.8000
1987-12-03,2057.3999
1987-12-04,1994.2000
1987-12-07,1894.9000
1987-12-08,1986.1000
1987-12-09,1985.0000
1987-12-10,2027.7000
1987-12-11,1989.6000
1987-12-14,2040.6000
1987-12-15,2080.6001
1987-12-16,2145.7000
1987-12-17,2142.2000
1987-12-18,2180.5000
1987-12-21,2278.1001
1987-12-22,2276.3999
1987-12-23,2325.6001
1987-12-24,2379.1001
1987-12-28,2286.8000
1987-12-29,2301.3000
1987-12-30,2292.0000
1987-12-31,2302.8000
1988-01-04,2286.3000
1988-01-05,2403.2000
1988-01-06,2463.0000
1988-01-07,2452.5000
1988-01-08,2460.7000
1988-01-11,2400.8000
1988-01-12,2442.3999
1988-01-13,2383.8000
1988-01-14,2411.5000
1988-01-15,2429.8000
1988-01-18,2512.2000
1988-01-19,2488.2000
1988-01-20,2484.3000
1988-01-21,2412.3000
1988-01-22,2422.3999
1988-01-25,2407.3000
1988-01-26,2426.1001
1988-01-27,2412.6001
1988-01-28,2412.7000
1988-01-29,2409.7000
1988-02-01,2358.3000
1988-02-02,2298.5000
1988-02-03,2354.5000
1988-02-04,2295.3000
1988-02-05,2292.6001
1988-02-08,2223.6001
1988-02-09,2223.0000
1988-02-10,2233.5000
1988-02-11,2256.5000
1988-02-12,2287.2000
1988-02-15,2301.8000
1988-02-16,2328.0000
1988-02-22,2347.2000
1988-02-23,2329.3999
1988-02-24,2336.0000
1988-02-25,2355.8999
1988-02-26,2383.8999
1988-02-29,2418.1001
1988-03-01,2454.7000
1988-03-02,2462.1001
1988-03-03,2468.5000
1988-03-04,2472.3999
1988-03-07,2470.3999
1988-03-08,2493.3000
1988-03-09,2551.8000
1988-03-10,2591.3000
1988-03-11,2595.5000
1988-03-14,2584.7000
1988-03-15,2578.8999
1988-03-16,2555.0000
1988-03-17,2581.3000
1988-03-18,2607.6001
1988-03-21,2602.8000
1988-03-22,2594.8000
1988-03-23,2561.8999
1988-03-24,2546.3999
1988-03-25,2501.3999
1988-03-28,2466.8000
1988-03-29,2521.6001
1988-03-30,2528.8999
1988-03-31,2544.0000
1988-04-06,2556.6001
1988-04-07,2623.1001
1988-04-08,2619.8999
1988-04-11,2651.0000
1988-04-12,2635.8999
1988-04-13,2671.2000
1988-04-14,2684.1001
1988-04-15,2599.0000
1988-04-18,2552.0000
1988-04-19,2593.8999
1988-04-20,2578.3999
1988-04-21,2552.7000
1988-04-22,2591.3999
1988-04-25,2623.8000
1988-04-26,2586.0000
1988-04-27,2592.0000
1988-04-28,2588.1001
1988-04-29,2602.8999
1988-05-02,2589.8999
1988-05-03,2602.6001
1988-05-04,2641.1001
1988-05-05,2577.8999
1988-05-06,2571.7000
1988-05-09,2584.0000
1988-05-10,2563.0000
1988-05-11,2534.3999
1988-05-12,2508.8999
1988-05-13,2532.6001
1988-05-16,2538.0000
1988-05-17,2533.6001
1988-05-18,2533.3000
1988-05-19,2506.8000
1988-05-20,2491.2000
1988-05-23,2490.2000
1988-05-24,2516.2000
1988-05-25,2528.0000
1988-05-26,2520.5000
1988-05-27,2513.7000
1988-05-30,2488.8999
1988-05-31,2496.7000
1988-06-01,2516.2000
1988-06-02,2546.8000
1988-06-03,2568.3000
1988-06-06,2590.3999
1988-06-07,2587.0000
1988-06-08,2609.0000
1988-06-09,2640.8000
1988-06-10,2647.3999
1988-06-14,2672.7000
1988-06-15,2699.6001
1988-06-16,2693.5000
1988-06-17,2718.0000
1988-06-20,2719.0000
1988-06-21,2683.6001
1988-06-22,2703.7000
1988-06-23,2712.2000
1988-06-24,2707.6001
1988-06-27,2689.7000
1988-06-28,2661.5000
1988-06-29,2648.2000
1988-06-30,2671.5000
1988-07-01,2684.6001
1988-07-04,2687.6001
1988-07-05,2681.8999
1988-07-06,2737.5000
1988-07-07,2759.6001
1988-07-08,2752.8999
1988-07-11,2759.6001
1988-07-12,2772.5000
1988-07-13,2744.8999
1988-07-14,2753.0000
1988-07-15,2740.7000
1988-07-18,2711.3999
1988-07-19,2677.8000
1988-07-20,2697.5000
1988-07-21,2687.3999
1988-07-22,2661.8000
1988-07-25,2647.3999
1988-07-26,2655.6001
1988-07-27,2665.2000
1988-07-28,2663.5000
1988-07-29,2678.8999
1988-08-01,2703.3999
1988-08-02,2701.1001
1988-08-03,2692.6001
1988-08-04,2677.3999
1988-08-05,2671.2000
1988-08-08,2659.1001
1988-08-09,2634.0000
1988-08-10,2579.3999
1988-08-11,2595.3000
1988-08-12,2600.8999
1988-08-15,2600.6001
1988-08-16,2589.3999
1988-08-17,2594.7000
1988-08-18,2571.3999
1988-08-19,2579.8000
1988-08-22,2564.1001
1988-08-23,2532.1001
1988-08-24,2520.3000
1988-08-25,2520.8999
1988-08-26,2464.8000
1988-08-30,2439.6001
1988-08-31,2443.8000
1988-09-01,2433.3000
1988-09-02,2449.8999
1988-09-05,2508.2000
1988-09-06,2502.1001
1988-09-07,2525.1001
1988-09-08,2508.5000
1988-09-09,2496.6001
1988-09-12,2468.8999
1988-09-13,2473.6001
1988-09-14,2481.6001
1988-09-15,2474.1001
1988-09-16,2458.8000
1988-09-19,2447.6001
1988-09-20,2423.2000
1988-09-21,2432.0000
1988-09-22,2455.8000
1988-09-23,2454.3999
1988-09-27,2466.3000
1988-09-28,2449.8000
1988-09-29,2439.3999
1988-09-30,2441.0000
1988-10-03,2429.1001
1988-10-04,2415.8000
1988-10-05,2417.3999
1988-10-06,2427.0000
1988-10-07,2478.8999
1988-10-10,2566.3999
1988-10-11,2571.6001
1988-10-12,2551.8999
1988-10-13,2561.8000
1988-10-14,2593.0000
1988-10-17,2593.6001
1988-10-18,2590.3999
1988-10-20,2584.0000
1988-10-21,2581.7000
1988-10-24,2562.5000
1988-10-25,2584.5000
1988-10-26,2610.6001
1988-10-27,2617.3000
1988-10-28,2614.5000
1988-10-31,2627.3999
1988-11-01,2615.3999
1988-11-02,2607.8000
1988-11-03,2584.5000
1988-11-04,2584.5000
1988-11-07,2567.0000
1988-11-08,2587.0000
1988-11-09,2583.0000
1988-11-10,2577.0000
1988-11-11,2583.7000
1988-11-14,2538.0000
1988-11-15,2568.6001
1988-11-16,2566.8999
1988-11-17,2568.8000
1988-11-18,2581.2000
1988-11-21,2581.8999
1988-11-22,2598.8000
1988-11-23,2633.7000
1988-11-24,2666.0000
1988-11-25,2656.1001
1988-11-28,2625.1001
1988-11-29,2632.7000
1988-11-30,2659.3000
1988-12-01,2668.0000
1988-12-02,2667.3000
1988-12-05,2671.2000
1988-12-06,2676.6001
1988-12-07,2690.3000
1988-12-08,2680.2000
1988-12-09,2671.3999
1988-12-12,2665.8999
1988-12-13,2651.8999
1988-12-14,2642.1001
1988-12-15,2627.2000
1988-12-16,2629.1001
1988-12-19,2611.8000
1988-12-20,2608.0000
1988-12-21,2633.1001
1988-12-22,2642.7000
1988-12-23,2656.6001
1988-12-28,2696.3999
1988-12-29,2692.3999
1988-12-30,2687.3999
1989-01-03,2706.7000
1989-01-04,2736.8000
1989-01-05,2758.5000
1989-01-06,2766.7000
1989-01-09,2792.3000
1989-01-10,2832.3999
1989-01-11,2872.5000
1989-01-12,2879.3000
1989-01-13,2844.0000
1989-01-16,2856.7000
1989-01-17,2896.7000
1989-01-18,2913.1001
1989-01-19,2909.7000
1989-01-20,2897.8999
1989-01-23,2897.5000
1989-01-24,2901.0000
1989-01-25,2900.7000
1989-01-26,2910.6001
1989-01-27,2957.0000
1989-01-30,3036.5000
1989-01-31,3072.8999
1989-02-01,3060.8999
1989-02-02,3059.5000
1989-02-03,3106.0000
1989-02-09,3210.0000
1989-02-10,3184.2000
1989-02-13,3153.7000
1989-02-14,3100.0000
1989-02-15,3100.8999
1989-02-16,3081.1001
1989-02-17,3106.3000
1989-02-20,3159.8000
1989-02-21,3150.6001
1989-02-22,3161.6001
1989-02-23,3125.2000
1989-02-24,3114.2000
1989-02-27,3064.2000
1989-02-28,3012.7000
1989-03-01,3037.1001
1989-03-02,3010.5000
1989-03-03,3056.6001
1989-03-06,3059.0000
1989-03-07,3080.7000
1989-03-08,3058.7000
1989-03-09,3062.8000
1989-03-10,3046.8000
1989-03-13,3029.8999
1989-03-14,3034.8000
1989-03-15,3095.8999
1989-03-16,3150.8999
1989-03-17,3136.8999
1989-03-20,3046.7000
1989-03-21,3056.3999
1989-03-22,3037.1001
1989-03-23,3049.6001
1989-03-28,3033.0000
1989-03-29,3033.0000
1989-03-30,2980.8000
1989-03-31,3005.0000
1989-04-03,2987.2000
1989-04-04,2992.0000
1989-04-06,3015.5000
1989-04-07,3024.1001
1989-04-10,3021.3999
1989-04-11,3026.0000
1989-04-12,3060.2000
1989-04-13,3079.2000
1989-04-14,3082.7000
1989-04-17,3134.0000
1989-04-18,3135.3999
1989-04-19,3164.1001
1989-04-20,3139.7000
1989-04-21,3109.2000
1989-04-24,3096.0000
1989-04-25,3118.7000
1989-04-26,3118.7000
1989-04-27,3077.3000
1989-04-28,3116.0000
1989-05-01,3123.8999
1989-05-02,3156.3999
1989-05-03,3155.2000
1989-05-04,3221.1001
1989-05-05,3262.8999
1989-05-08,3268.5000
1989-05-09,3262.2000
1989-05-10,3280.8999
1989-05-11,3285.1001
1989-05-12,3278.3999
1989-05-15,3309.6001
1989-05-16,3289.5000
1989-05-17,3246.3999
1989-05-18,3277.6001
1989-05-19,3145.6001
1989-05-22,2806.6001
1989-05-23,3067.7000
1989-05-24,3008.7000
1989-05-25,2752.5000
1989-05-26,2765.7000
1989-05-29,2845.0000
1989-05-30,2805.5000
1989-05-31,2743.8999
1989-06-01,2690.0000
1989-06-02,2675.3999
1989-06-05,2093.6001
1989-06-06,2149.7000
1989-06-07,2224.7000
1989-06-09,2268.3999
1989-06-12,2440.2000
1989-06-13,2355.2000
1989-06-14,2380.5000
1989-06-15,2340.0000
1989-06-16,2342.3999
1989-06-20,2337.7000
1989-06-21,2272.5000
1989-06-22,2231.8000
1989-06-23,2219.0000
1989-06-26,2266.6001
1989-06-27,2232.7000
1989-06-28,2245.1001
1989-06-29,2275.3000
1989-06-30,2273.8999
1989-07-03,2270.8000
1989-07-04,2316.7000
1989-07-05,2350.7000
1989-07-06,2369.5000
1989-07-07,2375.8999
1989-07-10,2439.2000
1989-07-11,2485.8999
1989-07-12,2477.5000
1989-07-13,2498.2000
1989-07-14,2516.1001
1989-07-17,2502.6001
1989-07-18,2505.5000
1989-07-19,2547.1001
1989-07-20,2543.1001
1989-07-21,2495.7000
1989-07-24,2482.5000
1989-07-25,2517.0000
